neighbourhood_cleansed,avg_price,median_price,count,avg_lat,avg_lon
I. kerület,26041.956164383562,23426.0,365,47.50008482925685,19.03519002662301
II. kerület,23166.671586715867,20628.0,271,47.51433121653728,19.028244480819275
III. kerület,21704.241379310344,20000.0,116,47.553394040195506,19.04311661738019
IV. kerület,25180.785714285714,22539.0,14,47.566257012523955,19.094942339151654
IX. kerület,22561.838582677166,20137.5,762,47.482727501781824,19.068613910479247
V. kerület,27163.296035242292,25053.0,1135,47.497704524952326,19.05346224670776
VI. kerület,24703.17684331797,21888.0,1736,47.50530712960462,19.06099342597951
VII. kerület,22183.73497888925,19537.0,3079,47.499336660033464,19.065863599394593
VIII. kerület,21352.813054499366,19042.5,1578,47.492114839898925,19.072684393021532
X. kerület,20647.444444444445,20785.0,27,47.486096275963476,19.138694766405163
XI. kerület,21338.584980237156,18319.0,253,47.473927783249614,19.04389523271007
XII. kerület,21199.297872340427,19114.5,94,47.49824496991646,19.016796570486637
XIII. kerület,22721.207627118645,20194.0,708,47.52011994437825,19.059579387638287
XIV. kerület,22800.49685534591,19950.0,159,47.51355087076726,19.106456855403763
XIX. kerület,21146.5,19354.0,24,47.45776522601446,19.142797060994976
XV. kerület,21559.444444444445,22335.5,18,47.555281278583124,19.11749486322324
XVI. kerület,29414.055555555555,26612.5,18,47.51988071710557,19.18149901193108
XVII. kerület,26901.25,22899.5,8,47.4689083748485,19.25716019553125
XVIII. kerület,29087.23076923077,27780.0,26,47.42971114095225,19.202003007877416
XX. kerület,20205.090909090908,17126.0,33,47.43696243609177,19.11276801675757
XXI. kerület,25579.75,28775.5,12,47.417986135240646,19.078896585816278
XXII. kerület,17169.11111111111,15800.0,9,47.411277347143056,19.00260856550342
XXIII. kerület,13005.875,11873.0,8,47.39936441260328,19.114906352443228
